タマコッコ to アヌビス, maxgen = 3
Gen:T+00 アヌビス(570) = アロアリュー(820) + レヴィドラ(310)
Gen:T+00 アヌビス(570) = アロアリュー(820) + ボルカノン(320)
Gen:T+00 アヌビス(570) = アロアリュー(820) + クインビーナ(330)
Gen:T+00 アヌビス(570) = アロアリュー(820) + アグニドラ(315)
Gen:T+00 アヌビス(570) = アビスゴート(580) + スナペント(550)
Gen:T+00 アヌビス(570) = アビスゴート(580) + シーペント(560)
Gen:T+00 アヌビス(570) = アビスゴート(580) + アヌビス(570)











































































































































	Gen:T-01 レヴィドラ(310) = ホークウィン(420) + ヘルガルダ(190)
	Gen:T-01 レヴィドラ(310) = ホークウィン(420) + エレパンダ(200)
	Gen:T-01 レヴィドラ(310) = ヘルゴート(590) + シヴァ(30)
	Gen:T-01 レヴィドラ(310) = ヒエティ(480) + ボルゼクス(140)
	Gen:T-01 レヴィドラ(310) = ヒエティ(480) + ツンドラー(130)
	Gen:T-01 レヴィドラ(310) = ヒエティ(460) + ジオラーヴァ(150)
	Gen:T-01 レヴィドラ(310) = パピテフ(490) + ツンドラー(130)
	Gen:T-01 レヴィドラ(310) = パピテフ(490) + グレイシャル(120)
	Gen:T-01 レヴィドラ(310) = ニャンギマリ(510) + グレイシャドウ(100)
	Gen:T-01 レヴィドラ(310) = ドンモップ(410) + リリクイン(210)
	Gen:T-01 レヴィドラ(310) = ドンモップ(410) + エレパンダ(200)
	Gen:T-01 レヴィドラ(310) = スナペント(550) + ベイントール(70)
	Gen:T-01 レヴィドラ(310) = スナペント(550) + ゼノグリフ(60)
	Gen:T-01 レヴィドラ(310) = シルフィア(540) + ベイントール(70)
	Gen:T-01 レヴィドラ(310) = シルフィア(540) + セイントール(80)
	Gen:T-01 レヴィドラ(310) = シルティア(530) + セイントール(80)
	Gen:T-01 レヴィドラ(310) = シルティア(530) + ジェットラン(90)
	Gen:T-01 レヴィドラ(310) = シーペント(560) + ゼノグリフ(60)
	Gen:T-01 レヴィドラ(310) = シーペント(560) + スザク(50)
	Gen:T-01 レヴィドラ(310) = ササゾー(430) + ヘルガルダ(190)
	Gen:T-01 レヴィドラ(310) = ササゾー(390) + ライバード(220)
	Gen:T-01 レヴィドラ(310) = ササゾー(390) + ボルカノン(230)
	Gen:T-01 レヴィドラ(310) = キャプペン(520) + ジェットラン(90)
	Gen:T-01 レヴィドラ(310) = キャプペン(520) + グレイシャドウ(100)
	Gen:T-01 レヴィドラ(310) = イグニクス(380) + ボルカノン(230)
	Gen:T-01 レヴィドラ(310) = イグニクス(380) + サラブレイズ(240)
	Gen:T-01 レヴィドラ(310) = アルパオー(470) + ボルゼクス(140)
	Gen:T-01 レヴィドラ(310) = アルパオー(470) + ジオラーヴァ(150)
	Gen:T-01 レヴィドラ(310) = アビスゴート(580) + シヴァ(30)
	Gen:T-01 レヴィドラ(310) = アズレーン(500) + グレイシャル(120)
	Gen:T-01 ルミカイト(870) = ンダコアラ(1380) + サラブレイズ(360)
	Gen:T-01 ルミカイト(870) = ルミカイト(870) + ルミカイト(870)
	Gen:T-01 ルミカイト(870) = ルナティ(1180) + シーペント(560)
	Gen:T-01 ルミカイト(870) = ラベロット(990) + ニャンバット(750)
	Gen:T-01 ルミカイト(870) = ラブマンダー(940) + オコチョ(800)
	Gen:T-01 ルミカイト(870) = ラヴィ(1405) + グラクレス(340)
	Gen:T-01 ルミカイト(870) = ラヴィ(1405) + クインビーナ(330)
	Gen:T-01 ルミカイト(870) = ヤミイカ(1290) + シルキーヌ(450)
	Gen:T-01 ルミカイト(870) = モコロン(1470) + パリピドン(270)
	Gen:T-01 ルミカイト(870) = モグルン(1220) + キャプペン(520)
	Gen:T-01 ルミカイト(870) = メルパカ(890) + ドリタス(850)
	Gen:T-01 ルミカイト(870) = メリポップ(1190) + スナペント(550)
	Gen:T-01 ルミカイト(870) = ムラクモ(980) + フブキツネ(760)
	Gen:T-01 ルミカイト(870) = ミルフィー(1455) + ペコドン(280)
	Gen:T-01 ルミカイト(870) = ミルフィー(1455) + ブリザモス(290)
	Gen:T-01 ルミカイト(870) = ミルカルビ(910) + シラヌイ(830)
	Gen:T-01 ルミカイト(870) = マスクロウ(1080) + カバネドリ(660)
	Gen:T-01 ルミカイト(870) = マグピス(1270) + アルパオー(470)
	Gen:T-01 ルミカイト(870) = ボルトラ(1410) + クインビーナ(330)
	Gen:T-01 ルミカイト(870) = ポプリーナ(1280) + ヒエティ(460)
	Gen:T-01 ルミカイト(870) = ホウロック(1390) + フェスキー(350)
	Gen:T-01 ルミカイト(870) = ペンタマ(1350) + ササゾー(390)
	Gen:T-01 ルミカイト(870) = ベリゴート(930) + ビリビリリュー(810)
	Gen:T-01 ルミカイト(870) = フォレーナ(1160) + アビスゴート(580)
	Gen:T-01 ルミカイト(870) = ヒメウサ(1310) + ササゾー(430)
	Gen:T-01 ルミカイト(870) = ヒノコジカ(1155) + ヘルゴート(590)
	Gen:T-01 ルミカイト(870) = ヒノコジカ(1155) + アビスゴート(580)
	Gen:T-01 ルミカイト(870) = ビーナイト(1070) + ゴクエンオ(670)
	Gen:T-01 ルミカイト(870) = パチグリ(1370) + ホルス(370)
	Gen:T-01 ルミカイト(870) = ネムラム(1230) + ニャンギマリ(510)
	Gen:T-01 ルミカイト(870) = ニャオテト(1480) + デスティング(260)
	Gen:T-01 ルミカイト(870) = ナエモチ(1240) + アズレーン(500)
	Gen:T-01 ルミカイト(870) = トドドドン(895) + ラブラドン(840)
	Gen:T-01 ルミカイト(870) = トドドドン(895) + ドリタス(850)
	Gen:T-01 ルミカイト(870) = ツララジカ(880) + ラブラドン(860)
	Gen:T-01 ルミカイト(870) = ツノガミ(920) + アロアリュー(820)
	Gen:T-01 ルミカイト(870) = ツノガミ(900) + ラブラドン(840)
	Gen:T-01 ルミカイト(870) = ツッパニャン(1460) + ペコドン(280)
	Gen:T-01 ルミカイト(870) = ツキカゲ(950) + ブルフェルノ(790)
	Gen:T-01 ルミカイト(870) = チルテト(1440) + グランモス(300)
	Gen:T-01 ルミカイト(870) = チョロゾウ(1490) + リリクイン(250)
	Gen:T-01 ルミカイト(870) = ダリザード(1120) + シロカバネ(620)
	Gen:T-01 ルミカイト(870) = タマモ(1450) + ブリザモス(290)
	Gen:T-01 ルミカイト(870) = タマコッコ(1500) + サラブレイズ(240)
	Gen:T-01 ルミカイト(870) = ソルレイス(1150) + ヘルゴート(590)
	Gen:T-01 ルミカイト(870) = シャーマンダー(1100) + ツジギリ(640)
	Gen:T-01 ルミカイト(870) = シメナワ(1420) + ボルカノン(320)
	Gen:T-01 ルミカイト(870) = シメナワ(1420) + アグニドラ(315)
	Gen:T-01 ルミカイト(870) = サンドロ(1000) + イヌズマ(740)
	Gen:T-01 ルミカイト(870) = ゴリレイジ(1040) + クレメーオ(700)
	Gen:T-01 ルミカイト(870) = コモップ(1300) + アルパオー(440)
	Gen:T-01 ルミカイト(870) = コチグリ(1360) + イグニクス(380)
	Gen:T-01 ルミカイト(870) = ケルピス(1260) + ヒエティ(480)
	Gen:T-01 ルミカイト(870) = クルリス(1430) + レヴィドラ(310)
	Gen:T-01 ルミカイト(870) = クルリス(1430) + アグニドラ(315)
	Gen:T-01 ルミカイト(870) = キツネビ(1400) + グラクレス(340)
	Gen:T-01 ルミカイト(870) = カモノスケ(1330) + ドンモップ(410)
	Gen:T-01 ルミカイト(870) = カミナラシ(1210) + シルティア(530)
	Gen:T-01 ルミカイト(870) = ガウルフ(1060) + ライコーン(680)
	Gen:T-01 ルミカイト(870) = オバケナワ(1422) + レヴィドラ(310)
	Gen:T-01 ルミカイト(870) = オバケナワ(1422) + ボルカノン(320)
	Gen:T-01 ルミカイト(870) = オバケナワ(1422) + アグニドラ(315)
	Gen:T-01 ルミカイト(870) = エテッパ(1250) + パピテフ(490)
	Gen:T-01 ルミカイト(870) = エアムルグ(1030) + ゴクエンオ(710)
	Gen:T-01 ルミカイト(870) = イバラヒメ(1320) + ホークウィン(420)
	Gen:T-01 ルミカイト(870) = アズレーン(500) + ナエモチ(1240)
	Gen:T-01 リリクイン(250) = ホークウィン(420) + セイントール(80)
	Gen:T-01 リリクイン(250) = ホークウィン(420) + ジェットラン(90)
	Gen:T-01 リリクイン(250) = ヒエティ(480) + シヴァ(30)
	Gen:T-01 リリクイン(250) = ヒエティ(460) + スザク(50)
	Gen:T-01 リリクイン(250) = パピテフ(490) + ボルカイザー(10)
	Gen:T-01 リリクイン(250) = ドンモップ(410) + ジェットラン(90)
	Gen:T-01 リリクイン(250) = ドンモップ(410) + グレイシャドウ(100)
	Gen:T-01 リリクイン(250) = シルキーヌ(450) + ゼノグリフ(60)
	Gen:T-01 リリクイン(250) = シルキーヌ(450) + スザク(50)
	Gen:T-01 リリクイン(250) = ササゾー(430) + ベイントール(70)
	Gen:T-01 リリクイン(250) = ササゾー(430) + セイントール(80)
	Gen:T-01 リリクイン(250) = ササゾー(390) + グレイシャル(120)
	Gen:T-01 リリクイン(250) = イグニクス(380) + ツンドラー(130)
	Gen:T-01 リリクイン(250) = イグニクス(380) + グレイシャル(120)
	Gen:T-01 リリクイン(250) = アルパオー(470) + シヴァ(30)
	Gen:T-01 リリクイン(250) = アルパオー(440) + ベイントール(70)
	Gen:T-01 リリクイン(250) = アルパオー(440) + ゼノグリフ(60)
	Gen:T-01 リリクイン(250) = アズレーン(500) + ボルカイザー(10)
	Gen:T-01 リリクイン(210) = ホークウィン(420) + ボルカイザー(10)
	Gen:T-01 リリクイン(210) = ドンモップ(410) + ボルカイザー(10)
	Gen:T-01 リリクイン(210) = ササゾー(390) + シヴァ(30)
	Gen:T-01 リリクイン(210) = イグニクス(380) + スザク(50)
	Gen:T-01 ラベロット(990) = ルナティ(1180) + オコチョ(800)
	Gen:T-01 ラベロット(990) = ラベロット(990) + ラベロット(990)
	Gen:T-01 ラベロット(990) = ラヴィ(1405) + アビスゴート(580)
	Gen:T-01 ラベロット(990) = ラヴィ(1405) + アヌビス(570)
	Gen:T-01 ラベロット(990) = モコロン(1470) + ニャンギマリ(510)
	Gen:T-01 ラベロット(990) = モグルン(1220) + フブキツネ(760)
	Gen:T-01 ラベロット(990) = メリポップ(1190) + ブルフェルノ(790)
	Gen:T-01 ラベロット(990) = ミルフィー(1455) + シルティア(530)
	Gen:T-01 ラベロット(990) = ミルフィー(1455) + キャプペン(520)
	Gen:T-01 ラベロット(990) = ミステリア(1110) + ルミカイト(870)
	Gen:T-01 ラベロット(990) = マスクロウ(1080) + トドドドン(895)
	Gen:T-01 ラベロット(990) = マスクロウ(1080) + ツノガミ(900)
	Gen:T-01 ラベロット(990) = マグピス(1270) + ゴクエンオ(710)
	Gen:T-01 ラベロット(990) = ボルトラ(1410) + アヌビス(570)
	Gen:T-01 ラベロット(990) = ポプリーナ(1280) + クレメーオ(700)
	Gen:T-01 ラベロット(990) = ホウロック(1390) + ヘルゴート(590)
	Gen:T-01 ラベロット(990) = ベリゴート(930) + ヴィオレッタ(1050)
	Gen:T-01 ラベロット(990) = フォレーナ(1160) + アロアリュー(820)
	Gen:T-01 ラベロット(990) = ヒメウサ(1310) + ゴクエンオ(670)
	Gen:T-01 ラベロット(990) = ヒノコジカ(1155) + シラヌイ(830)
	Gen:T-01 ラベロット(990) = ヒノコジカ(1155) + アロアリュー(820)
	Gen:T-01 ラベロット(990) = ビーナイト(1070) + ミルカルビ(910)
	Gen:T-01 ラベロット(990) = ニャンバット(750) + ネムラム(1230)
	Gen:T-01 ラベロット(990) = ニャオテト(1480) + アズレーン(500)
	Gen:T-01 ラベロット(990) = ナエモチ(1240) + イヌズマ(740)
	Gen:T-01 ラベロット(990) = ツッパニャン(1460) + キャプペン(520)
	Gen:T-01 ラベロット(990) = チルテト(1440) + シルフィア(540)
	Gen:T-01 ラベロット(990) = チョロゾウ(1490) + パピテフ(490)
	Gen:T-01 ラベロット(990) = ダリザード(1140) + ラブラドン(840)
	Gen:T-01 ラベロット(990) = ダリザード(1120) + ラブラドン(860)
	Gen:T-01 ラベロット(990) = タマモ(1450) + シルティア(530)
	Gen:T-01 ラベロット(990) = タマコッコ(1500) + ヒエティ(480)
	Gen:T-01 ラベロット(990) = ソルレイス(1150) + シラヌイ(830)
	Gen:T-01 ラベロット(990) = シャーマンダー(1100) + ツララジカ(880)
	Gen:T-01 ラベロット(990) = シャーキッド(1090) + メルパカ(890)
	Gen:T-01 ラベロット(990) = シャーキッド(1090) + トドドドン(895)
	Gen:T-01 ラベロット(990) = シメナワ(1420) + シーペント(560)
	Gen:T-01 ラベロット(990) = サンドロ(1000) + ムラクモ(980)
	Gen:T-01 ラベロット(990) = ゴリレイジ(1040) + ラブマンダー(940)
	Gen:T-01 ラベロット(990) = コモップ(1300) + ライコーン(680)
	Gen:T-01 ラベロット(990) = コチグリ(1360) + シロカバネ(620)
	Gen:T-01 ラベロット(990) = クルリス(1430) + スナペント(550)
	Gen:T-01 ラベロット(990) = クルットリ(1340) + ツジギリ(640)
	Gen:T-01 ラベロット(990) = キツネビ(1400) + アビスゴート(580)
	Gen:T-01 ラベロット(990) = ガウルフ(1060) + ツノガミ(920)
	Gen:T-01 ラベロット(990) = オバケナワ(1422) + スナペント(550)
	Gen:T-01 ラベロット(990) = オバケナワ(1422) + シーペント(560)
	Gen:T-01 ラベロット(990) = エアムルグ(1030) + ツキカゲ(950)
	Gen:T-01 ラベロット(990) = イバラヒメ(1320) + カバネドリ(660)
	Gen:T-01 ラベロット(990) = イノボウ(1130) + ドリタス(850)
	Gen:T-01 ラベロット(990) = イヌズマ(740) + ナエモチ(1240)
	Gen:T-01 ラブラドン(860) = ンダコアラ(1380) + フェスキー(350)
	Gen:T-01 ラブラドン(860) = ンダコアラ(1380) + グラクレス(340)
	Gen:T-01 ラブラドン(860) = ルミカイト(870) + ラブラドン(860)
	Gen:T-01 ラブラドン(860) = ルミカイト(870) + ドリタス(850)
	Gen:T-01 ラブラドン(860) = ルナティ(1180) + スナペント(550)
	Gen:T-01 ラブラドン(860) = ルナティ(1180) + シルフィア(540)
	Gen:T-01 ラブラドン(860) = ラベロット(990) + イヌズマ(740)
	Gen:T-01 ラブラドン(860) = ラブラドン(860) + ラブラドン(860)
	Gen:T-01 ラブラドン(860) = ラブマンダー(940) + ブルフェルノ(790)
	Gen:T-01 ラブラドン(860) = ラブマンダー(940) + フラリーナ(780)
	Gen:T-01 ラブラドン(860) = ラヴィ(1405) + レヴィドラ(310)
	Gen:T-01 ラブラドン(860) = ラヴィ(1405) + ボルカノン(320)
	Gen:T-01 ラブラドン(860) = ラヴィ(1405) + アグニドラ(315)
	Gen:T-01 ラブラドン(860) = ヤミトバリ(1010) + ゴクエンオ(710)
	Gen:T-01 ラブラドン(860) = ヤミイカ(1290) + ササゾー(430)
	Gen:T-01 ラブラドン(860) = ヤミイカ(1290) + アルパオー(440)
	Gen:T-01 ラブラドン(860) = モコロン(1470) + リリクイン(250)
	Gen:T-01 ラブラドン(860) = モコロン(1470) + デスティング(260)
	Gen:T-01 ラブラドン(860) = モグルン(1220) + ニャンギマリ(510)
	Gen:T-01 ラブラドン(860) = モグルン(1220) + アズレーン(500)
	Gen:T-01 ラブラドン(860) = メルパカ(890) + ラブラドン(840)
	Gen:T-01 ラブラドン(860) = メルパカ(890) + シラヌイ(830)
	Gen:T-01 ラブラドン(860) = メリポップ(1190) + シルフィア(540)
	Gen:T-01 ラブラドン(860) = メリポップ(1190) + シルティア(530)
	Gen:T-01 ラブラドン(860) = ムラクモ(980) + ニャンバット(750)
	Gen:T-01 ラブラドン(860) = ムラクモ(980) + イヌズマ(740)
	Gen:T-01 ラブラドン(860) = ミルフィー(1455) + パリピドン(270)
	Gen:T-01 ラブラドン(860) = ミルフィー(1455) + デスティング(260)
	Gen:T-01 ラブラドン(860) = ミルカルビ(910) + ビリビリリュー(810)
	Gen:T-01 ラブラドン(860) = ミルカルビ(910) + アロアリュー(820)
	Gen:T-01 ラブラドン(860) = ミステリア(1110) + シロカバネ(620)
	Gen:T-01 ラブラドン(860) = マスクロウ(1080) + ツジギリ(640)
	Gen:T-01 ラブラドン(860) = マグピス(1270) + ヒエティ(460)
	Gen:T-01 ラブラドン(860) = マグピス(1270) + シルキーヌ(450)
	Gen:T-01 ラブラドン(860) = ボルトラ(1410) + レヴィドラ(310)
	Gen:T-01 ラブラドン(860) = ボルトラ(1410) + ボルカノン(320)
	Gen:T-01 ラブラドン(860) = ボルトラ(1410) + アグニドラ(315)
	Gen:T-01 ラブラドン(860) = ポプリーナ(1280) + シルキーヌ(450)
	Gen:T-01 ラブラドン(860) = ポプリーナ(1280) + アルパオー(440)
	Gen:T-01 ラブラドン(860) = ホウロック(1390) + グラクレス(340)
	Gen:T-01 ラブラドン(860) = ホウロック(1390) + クインビーナ(330)
	Gen:T-01 ラブラドン(860) = ペンタマ(1350) + ホルス(370)
	Gen:T-01 ラブラドン(860) = ペンタマ(1350) + イグニクス(380)
	Gen:T-01 ラブラドン(860) = ベリゴート(930) + ブルフェルノ(790)
	Gen:T-01 ラブラドン(860) = ベリゴート(930) + オコチョ(800)
	Gen:T-01 ラブラドン(860) = フォレーナ(1160) + シーペント(560)
	Gen:T-01 ラブラドン(860) = フォレーナ(1160) + アヌビス(570)
	Gen:T-01 ラブラドン(860) = フェザーロ(1020) + ゴクエンオ(710)
	Gen:T-01 ラブラドン(860) = フェザーロ(1020) + クレメーオ(700)
	Gen:T-01 ラブラドン(860) = ヒメウサ(1310) + ホークウィン(420)
	Gen:T-01 ラブラドン(860) = ヒメウサ(1310) + ドンモップ(410)
	Gen:T-01 ラブラドン(860) = ヒノコジカ(1155) + シーペント(560)
	Gen:T-01 ラブラドン(860) = ヒノコジカ(1155) + アヌビス(570)
	Gen:T-01 ラブラドン(860) = ヒエティ(480) + ナエモチ(1240)
	Gen:T-01 ラブラドン(860) = ビーナイト(1070) + カバネドリ(660)
	Gen:T-01 ラブラドン(860) = パピテフ(490) + ナエモチ(1240)
	Gen:T-01 ラブラドン(860) = パチグリ(1370) + フェスキー(350)
	Gen:T-01 ラブラドン(860) = パチグリ(1370) + サラブレイズ(360)
	Gen:T-01 ラブラドン(860) = ネムラム(1230) + パピテフ(490)
	Gen:T-01 ラブラドン(860) = ネムラム(1230) + アズレーン(500)
	Gen:T-01 ラブラドン(860) = ニャオテト(1480) + リリクイン(250)
	Gen:T-01 ラブラドン(860) = ニャオテト(1480) + サラブレイズ(240)
	Gen:T-01 ラブラドン(860) = ナエモチ(1240) + ヒエティ(480)
