ルミカイト to アヌビス, maxgen = 2
Gen:T+00 アヌビス(570) = メルパカ(890) + リリクイン(250)
Gen:T+00 アヌビス(570) = メルパカ(890) + デスティング(260)
Gen:T+00 アヌビス(570) = メルパカ(890) + サラブレイズ(240)
Gen:T+00 アヌビス(570) = ムラクモ(980) + ジオラーヴァ(150)
Gen:T+00 アヌビス(570) = ミルカルビ(910) + ライバード(220)
Gen:T+00 アヌビス(570) = ミルカルビ(910) + ボルカノン(230)
Gen:T+00 アヌビス(570) = ミルカルビ(910) + サラブレイズ(240)
Gen:T+00 アヌビス(570) = マスクロウ(1080) + ベイントール(70)
Gen:T+00 アヌビス(570) = マスクロウ(1080) + ゼノグリフ(60)
Gen:T+00 アヌビス(570) = マスクロウ(1080) + スザク(50)
Gen:T+00 アヌビス(570) = ホルス(370) + フラリーナ(780)
Gen:T+00 アヌビス(570) = ホルス(370) + フブキツネ(760)
Gen:T+00 アヌビス(570) = ボルカノン(320) + ビリビリリュー(810)
Gen:T+00 アヌビス(570) = ボルカノン(320) + シラヌイ(830)
Gen:T+00 アヌビス(570) = ボルカノン(320) + アロアリュー(820)
Gen:T+00 アヌビス(570) = ボルカノン(230) + ミルカルビ(910)
Gen:T+00 アヌビス(570) = ボルカノン(230) + ツノガミ(920)
Gen:T+00 アヌビス(570) = ボルカノン(230) + ツノガミ(900)
Gen:T+00 アヌビス(570) = ホークウィン(420) + ゴクエンオ(710)
Gen:T+00 アヌビス(570) = ヘルゴート(590) + スナペント(550)
Gen:T+00 アヌビス(570) = ヘルゴート(590) + シルフィア(540)
Gen:T+00 アヌビス(570) = ヘルゴート(590) + シーペント(560)
Gen:T+00 アヌビス(570) = ベリゴート(930) + リリクイン(210)
Gen:T+00 アヌビス(570) = ベリゴート(930) + ライバード(220)
Gen:T+00 アヌビス(570) = ベリゴート(930) + エレパンダ(200)
Gen:T+00 アヌビス(570) = ペコドン(280) + ルミカイト(870)
Gen:T+00 アヌビス(570) = ペコドン(280) + ラブラドン(860)
Gen:T+00 アヌビス(570) = ペコドン(280) + ドリタス(850)
Gen:T+00 アヌビス(570) = ブルフェルノ(790) + フェスキー(350)
Gen:T+00 アヌビス(570) = ブルフェルノ(790) + サラブレイズ(360)
Gen:T+00 アヌビス(570) = ブルフェルノ(790) + グラクレス(340)
Gen:T+00 アヌビス(570) = ブリザモス(290) + ラブラドン(860)
Gen:T+00 アヌビス(570) = ブリザモス(290) + ラブラドン(840)
Gen:T+00 アヌビス(570) = ブリザモス(290) + ドリタス(850)
Gen:T+00 アヌビス(570) = フラリーナ(780) + ホルス(370)
Gen:T+00 アヌビス(570) = フラリーナ(780) + フェスキー(350)
Gen:T+00 アヌビス(570) = フラリーナ(780) + サラブレイズ(360)
Gen:T+00 アヌビス(570) = フブキツネ(760) + ホルス(370)
Gen:T+00 アヌビス(570) = フブキツネ(760) + ササゾー(390)
Gen:T+00 アヌビス(570) = フブキツネ(760) + イグニクス(380)
Gen:T+00 アヌビス(570) = フェスキー(350) + ブルフェルノ(790)
Gen:T+00 アヌビス(570) = フェスキー(350) + フラリーナ(780)
Gen:T+00 アヌビス(570) = フェスキー(350) + オコチョ(800)
Gen:T+00 アヌビス(570) = フェザーロ(1020) + ツンドラー(130)
Gen:T+00 アヌビス(570) = フェザーロ(1020) + グレイシャル(120)
Gen:T+00 アヌビス(570) = ビリビリリュー(810) + ボルカノン(320)
Gen:T+00 アヌビス(570) = ビリビリリュー(810) + グラクレス(340)
Gen:T+00 アヌビス(570) = ビリビリリュー(810) + クインビーナ(330)
Gen:T+00 アヌビス(570) = ヒエティ(480) + ゴクエンオ(670)
Gen:T+00 アヌビス(570) = ヒエティ(480) + カバネドリ(660)
Gen:T+00 アヌビス(570) = ヒエティ(460) + ライコーン(680)
Gen:T+00 アヌビス(570) = ヒエティ(460) + ゴクエンオ(670)
Gen:T+00 アヌビス(570) = ビーナイト(1070) + ベイントール(70)
Gen:T+00 アヌビス(570) = ビーナイト(1070) + ゼノグリフ(60)
Gen:T+00 アヌビス(570) = ビーナイト(1070) + セイントール(80)
Gen:T+00 アヌビス(570) = パリピドン(270) + ルミカイト(870)
Gen:T+00 アヌビス(570) = パリピドン(270) + ラブラドン(860)
Gen:T+00 アヌビス(570) = パリピドン(270) + ツララジカ(880)
Gen:T+00 アヌビス(570) = パピテフ(490) + ツジギリ(640)
Gen:T+00 アヌビス(570) = パピテフ(490) + カバネドリ(660)
Gen:T+00 アヌビス(570) = ニャンバット(750) + ササゾー(390)
Gen:T+00 アヌビス(570) = ニャンバット(750) + イグニクス(380)
Gen:T+00 アヌビス(570) = ニャンギマリ(510) + ツジギリ(640)
Gen:T+00 アヌビス(570) = ニャンギマリ(510) + シロカバネ(620)
Gen:T+00 アヌビス(570) = ドンモップ(410) + イヌズマ(740)
Gen:T+00 アヌビス(570) = ドリタス(850) + ペコドン(280)
Gen:T+00 アヌビス(570) = ドリタス(850) + ブリザモス(290)
Gen:T+00 アヌビス(570) = ドリタス(850) + グランモス(300)
Gen:T+00 アヌビス(570) = トドドドン(895) + リリクイン(250)
Gen:T+00 アヌビス(570) = トドドドン(895) + サラブレイズ(240)
Gen:T+00 アヌビス(570) = デスティング(260) + ルミカイト(870)
Gen:T+00 アヌビス(570) = デスティング(260) + メルパカ(890)
Gen:T+00 アヌビス(570) = デスティング(260) + ツララジカ(880)
Gen:T+00 アヌビス(570) = ツララジカ(880) + リリクイン(250)
Gen:T+00 アヌビス(570) = ツララジカ(880) + パリピドン(270)
Gen:T+00 アヌビス(570) = ツララジカ(880) + デスティング(260)
Gen:T+00 アヌビス(570) = ツノガミ(920) + リリクイン(210)
Gen:T+00 アヌビス(570) = ツノガミ(920) + ライバード(220)
Gen:T+00 アヌビス(570) = ツノガミ(920) + ボルカノン(230)
Gen:T+00 アヌビス(570) = ツノガミ(900) + リリクイン(250)
Gen:T+00 アヌビス(570) = ツノガミ(900) + ボルカノン(230)
Gen:T+00 アヌビス(570) = ツノガミ(900) + サラブレイズ(240)
Gen:T+00 アヌビス(570) = ツジギリ(640) + パピテフ(490)
Gen:T+00 アヌビス(570) = ツジギリ(640) + ニャンギマリ(510)
Gen:T+00 アヌビス(570) = ツジギリ(640) + アズレーン(500)
Gen:T+00 アヌビス(570) = ツキカゲ(950) + ヘルガルダ(190)
Gen:T+00 アヌビス(570) = ツキカゲ(950) + エレパンダ(200)
Gen:T+00 アヌビス(570) = ダリザード(1140) + ボルカイザー(10)
Gen:T+00 アヌビス(570) = ダリザード(1120) + ボルカイザー(10)
Gen:T+00 アヌビス(570) = ダリザード(1120) + シヴァ(30)
Gen:T+00 アヌビス(570) = ゼノグリフ(60) + マスクロウ(1080)
Gen:T+00 アヌビス(570) = ゼノグリフ(60) + ビーナイト(1070)
Gen:T+00 アヌビス(570) = ゼノグリフ(60) + シャーキッド(1090)
Gen:T+00 アヌビス(570) = スナペント(550) + ヘルゴート(590)
Gen:T+00 アヌビス(570) = スナペント(550) + アビスゴート(580)
Gen:T+00 アヌビス(570) = シロカバネ(620) + ニャンギマリ(510)
Gen:T+00 アヌビス(570) = シロカバネ(620) + シルティア(530)
Gen:T+00 アヌビス(570) = シロカバネ(620) + キャプペン(520)
Gen:T+00 アヌビス(570) = シルフィア(540) + ヘルゴート(590)
Gen:T+00 アヌビス(570) = シルティア(530) + シロカバネ(620)
Gen:T+00 アヌビス(570) = シルキーヌ(450) + ライコーン(680)
Gen:T+00 アヌビス(570) = シルキーヌ(450) + クレメーオ(700)
Gen:T+00 アヌビス(570) = シラヌイ(830) + レヴィドラ(310)
Gen:T+00 アヌビス(570) = シラヌイ(830) + ボルカノン(320)
Gen:T+00 アヌビス(570) = シラヌイ(830) + グランモス(300)
Gen:T+00 アヌビス(570) = シラヌイ(830) + アグニドラ(315)
Gen:T+00 アヌビス(570) = シャーマンダー(1100) + スザク(50)
Gen:T+00 アヌビス(570) = シャーマンダー(1100) + シヴァ(30)
Gen:T+00 アヌビス(570) = シャーキッド(1090) + ゼノグリフ(60)
Gen:T+00 アヌビス(570) = シャーキッド(1090) + スザク(50)
Gen:T+00 アヌビス(570) = シーペント(560) + ヘルゴート(590)
Gen:T+00 アヌビス(570) = シーペント(560) + アビスゴート(580)
Gen:T+00 アヌビス(570) = シーペント(560) + アヌビス(570)
Gen:T+00 アヌビス(570) = サンドロ(1000) + ボルゼクス(140)
Gen:T+00 アヌビス(570) = サンドロ(1000) + ツンドラー(130)
Gen:T+00 アヌビス(570) = サンドロ(1000) + ジオラーヴァ(150)
Gen:T+00 アヌビス(570) = サラブレイズ(360) + ブルフェルノ(790)
Gen:T+00 アヌビス(570) = サラブレイズ(360) + フラリーナ(780)
Gen:T+00 アヌビス(570) = サラブレイズ(240) + メルパカ(890)
Gen:T+00 アヌビス(570) = サラブレイズ(240) + ミルカルビ(910)
Gen:T+00 アヌビス(570) = サラブレイズ(240) + トドドドン(895)
Gen:T+00 アヌビス(570) = サラブレイズ(240) + ツノガミ(900)
Gen:T+00 アヌビス(570) = ササゾー(430) + ゴクエンオ(710)
Gen:T+00 アヌビス(570) = ササゾー(430) + クレメーオ(700)
Gen:T+00 アヌビス(570) = ササゾー(390) + フブキツネ(760)
Gen:T+00 アヌビス(570) = ササゾー(390) + ニャンバット(750)
Gen:T+00 アヌビス(570) = ササゾー(390) + イヌズマ(740)
Gen:T+00 アヌビス(570) = ゴリレイジ(1040) + ジェットラン(90)
Gen:T+00 アヌビス(570) = ゴリレイジ(1040) + グレイシャドウ(100)
Gen:T+00 アヌビス(570) = ゴクエンオ(710) + ホークウィン(420)
Gen:T+00 アヌビス(570) = ゴクエンオ(710) + ササゾー(430)
Gen:T+00 アヌビス(570) = ゴクエンオ(710) + アルパオー(440)
Gen:T+00 アヌビス(570) = ゴクエンオ(670) + ヒエティ(480)
Gen:T+00 アヌビス(570) = ゴクエンオ(670) + ヒエティ(460)
Gen:T+00 アヌビス(570) = ゴクエンオ(670) + アルパオー(470)
Gen:T+00 アヌビス(570) = クレメーオ(700) + シルキーヌ(450)
Gen:T+00 アヌビス(570) = クレメーオ(700) + ササゾー(430)
Gen:T+00 アヌビス(570) = クレメーオ(700) + アルパオー(440)
Gen:T+00 アヌビス(570) = グランモス(300) + ラブラドン(840)
Gen:T+00 アヌビス(570) = グランモス(300) + ドリタス(850)
Gen:T+00 アヌビス(570) = グランモス(300) + シラヌイ(830)
Gen:T+00 アヌビス(570) = グラクレス(340) + ブルフェルノ(790)
Gen:T+00 アヌビス(570) = グラクレス(340) + ビリビリリュー(810)
Gen:T+00 アヌビス(570) = グラクレス(340) + オコチョ(800)
Gen:T+00 アヌビス(570) = クインビーナ(330) + ビリビリリュー(810)
Gen:T+00 アヌビス(570) = クインビーナ(330) + オコチョ(800)
Gen:T+00 アヌビス(570) = クインビーナ(330) + アロアリュー(820)
Gen:T+00 アヌビス(570) = キャプペン(520) + シロカバネ(620)
Gen:T+00 アヌビス(570) = カバネドリ(660) + ヒエティ(480)
Gen:T+00 アヌビス(570) = カバネドリ(660) + パピテフ(490)
Gen:T+00 アヌビス(570) = カバネドリ(660) + アルパオー(470)
Gen:T+00 アヌビス(570) = ガウルフ(1060) + ベイントール(70)
Gen:T+00 アヌビス(570) = ガウルフ(1060) + セイントール(80)
Gen:T+00 アヌビス(570) = ガウルフ(1060) + ジェットラン(90)
Gen:T+00 アヌビス(570) = オコチョ(800) + フェスキー(350)
Gen:T+00 アヌビス(570) = オコチョ(800) + グラクレス(340)
Gen:T+00 アヌビス(570) = オコチョ(800) + クインビーナ(330)
Gen:T+00 アヌビス(570) = エアムルグ(1030) + グレイシャル(120)
Gen:T+00 アヌビス(570) = エアムルグ(1030) + グレイシャドウ(100)
Gen:T+00 アヌビス(570) = ヴィオレッタ(1050) + セイントール(80)
Gen:T+00 アヌビス(570) = ヴィオレッタ(1050) + ジェットラン(90)
Gen:T+00 アヌビス(570) = ヴィオレッタ(1050) + グレイシャドウ(100)
Gen:T+00 アヌビス(570) = イノボウ(1130) + ボルカイザー(10)
Gen:T+00 アヌビス(570) = イヌズマ(740) + ドンモップ(410)
Gen:T+00 アヌビス(570) = イヌズマ(740) + ササゾー(390)
Gen:T+00 アヌビス(570) = イグニクス(380) + フブキツネ(760)
Gen:T+00 アヌビス(570) = イグニクス(380) + ニャンバット(750)
Gen:T+00 アヌビス(570) = アロアリュー(820) + レヴィドラ(310)
Gen:T+00 アヌビス(570) = アロアリュー(820) + ボルカノン(320)
Gen:T+00 アヌビス(570) = アロアリュー(820) + クインビーナ(330)
Gen:T+00 アヌビス(570) = アロアリュー(820) + アグニドラ(315)
Gen:T+00 アヌビス(570) = アルパオー(470) + ライコーン(680)
Gen:T+00 アヌビス(570) = アルパオー(470) + ゴクエンオ(670)
Gen:T+00 アヌビス(570) = アルパオー(470) + カバネドリ(660)
Gen:T+00 アヌビス(570) = アルパオー(440) + ゴクエンオ(710)
Gen:T+00 アヌビス(570) = アルパオー(440) + クレメーオ(700)
Gen:T+00 アヌビス(570) = アビスゴート(580) + スナペント(550)
Gen:T+00 アヌビス(570) = アビスゴート(580) + シーペント(560)
Gen:T+00 アヌビス(570) = アビスゴート(580) + アヌビス(570)
Gen:T+00 アヌビス(570) = アズレーン(500) + ツジギリ(640)
Gen:T+00 アヌビス(570) = アグニドラ(315) + シラヌイ(830)
Gen:T+00 アヌビス(570) = アグニドラ(315) + アロアリュー(820)

	Gen:T-01 レヴィドラ(310) = ヘルゴート(590) + シヴァ(30)
	Gen:T-01 レヴィドラ(310) = ヒエティ(480) + ボルゼクス(140)
	Gen:T-01 レヴィドラ(310) = ヒエティ(480) + ツンドラー(130)
	Gen:T-01 レヴィドラ(310) = ヒエティ(460) + ジオラーヴァ(150)
	Gen:T-01 レヴィドラ(310) = ニャンギマリ(510) + グレイシャドウ(100)
	Gen:T-01 レヴィドラ(310) = スナペント(550) + ベイントール(70)
	Gen:T-01 レヴィドラ(310) = スナペント(550) + ゼノグリフ(60)
	Gen:T-01 レヴィドラ(310) = シルフィア(540) + ベイントール(70)
	Gen:T-01 レヴィドラ(310) = シルフィア(540) + セイントール(80)
	Gen:T-01 レヴィドラ(310) = シルティア(530) + セイントール(80)
	Gen:T-01 レヴィドラ(310) = シルティア(530) + ジェットラン(90)
	Gen:T-01 レヴィドラ(310) = シーペント(560) + ゼノグリフ(60)
	Gen:T-01 レヴィドラ(310) = シーペント(560) + スザク(50)
	Gen:T-01 レヴィドラ(310) = アルパオー(470) + ボルゼクス(140)
	Gen:T-01 レヴィドラ(310) = アルパオー(470) + ジオラーヴァ(150)
	Gen:T-01 レヴィドラ(310) = アビスゴート(580) + シヴァ(30)
	Gen:T-01 レヴィドラ(310) = アズレーン(500) + グレイシャル(120)
	Gen:T-01 ルミカイト(870) = ルミカイト(870) + ルミカイト(870)
	Gen:T-01 ルミカイト(870) = ルナティ(1180) + シーペント(560)
	Gen:T-01 ルミカイト(870) = ラベロット(990) + ニャンバット(750)
	Gen:T-01 ルミカイト(870) = ラブラドン(860) + ツララジカ(880)
	Gen:T-01 ルミカイト(870) = ラブラドン(840) + トドドドン(895)
	Gen:T-01 ルミカイト(870) = ラブラドン(840) + ツノガミ(900)
	Gen:T-01 ルミカイト(870) = ラブマンダー(940) + オコチョ(800)
	Gen:T-01 ルミカイト(870) = ライコーン(680) + ガウルフ(1060)
	Gen:T-01 ルミカイト(870) = メルパカ(890) + ドリタス(850)
	Gen:T-01 ルミカイト(870) = メリポップ(1190) + スナペント(550)
	Gen:T-01 ルミカイト(870) = ムラクモ(980) + フブキツネ(760)
	Gen:T-01 ルミカイト(870) = ミルカルビ(910) + シラヌイ(830)
	Gen:T-01 ルミカイト(870) = マスクロウ(1080) + カバネドリ(660)
	Gen:T-01 ルミカイト(870) = ヘルゴート(590) + ヒノコジカ(1155)
	Gen:T-01 ルミカイト(870) = ヘルゴート(590) + ソルレイス(1150)
	Gen:T-01 ルミカイト(870) = ベリゴート(930) + ビリビリリュー(810)
	Gen:T-01 ルミカイト(870) = ブルフェルノ(790) + ツキカゲ(950)
	Gen:T-01 ルミカイト(870) = フブキツネ(760) + ムラクモ(980)
	Gen:T-01 ルミカイト(870) = フォレーナ(1160) + アビスゴート(580)
	Gen:T-01 ルミカイト(870) = ビリビリリュー(810) + ベリゴート(930)
	Gen:T-01 ルミカイト(870) = ヒノコジカ(1155) + ヘルゴート(590)
	Gen:T-01 ルミカイト(870) = ヒノコジカ(1155) + アビスゴート(580)
	Gen:T-01 ルミカイト(870) = ヒエティ(480) + ケルピス(1260)
	Gen:T-01 ルミカイト(870) = ヒエティ(460) + ポプリーナ(1280)
	Gen:T-01 ルミカイト(870) = ビーナイト(1070) + ゴクエンオ(670)
	Gen:T-01 ルミカイト(870) = ニャンバット(750) + ラベロット(990)
	Gen:T-01 ルミカイト(870) = ニャンギマリ(510) + ネムラム(1230)
	Gen:T-01 ルミカイト(870) = ドリタス(850) + メルパカ(890)
	Gen:T-01 ルミカイト(870) = ドリタス(850) + トドドドン(895)
	Gen:T-01 ルミカイト(870) = トドドドン(895) + ラブラドン(840)
	Gen:T-01 ルミカイト(870) = トドドドン(895) + ドリタス(850)
	Gen:T-01 ルミカイト(870) = ツララジカ(880) + ラブラドン(860)
	Gen:T-01 ルミカイト(870) = ツノガミ(920) + アロアリュー(820)
	Gen:T-01 ルミカイト(870) = ツノガミ(900) + ラブラドン(840)
	Gen:T-01 ルミカイト(870) = ツジギリ(640) + シャーマンダー(1100)
	Gen:T-01 ルミカイト(870) = ツキカゲ(950) + ブルフェルノ(790)
	Gen:T-01 ルミカイト(870) = ダリザード(1120) + シロカバネ(620)
	Gen:T-01 ルミカイト(870) = ソルレイス(1150) + ヘルゴート(590)
	Gen:T-01 ルミカイト(870) = スナペント(550) + メリポップ(1190)
	Gen:T-01 ルミカイト(870) = シロカバネ(620) + ダリザード(1120)
	Gen:T-01 ルミカイト(870) = シルティア(530) + カミナラシ(1210)
	Gen:T-01 ルミカイト(870) = シルキーヌ(450) + ヤミイカ(1290)
	Gen:T-01 ルミカイト(870) = シラヌイ(830) + ミルカルビ(910)
	Gen:T-01 ルミカイト(870) = シャーマンダー(1100) + ツジギリ(640)
	Gen:T-01 ルミカイト(870) = シーペント(560) + ルナティ(1180)
	Gen:T-01 ルミカイト(870) = サンドロ(1000) + イヌズマ(740)
	Gen:T-01 ルミカイト(870) = ゴリレイジ(1040) + クレメーオ(700)
	Gen:T-01 ルミカイト(870) = ゴクエンオ(710) + エアムルグ(1030)
	Gen:T-01 ルミカイト(870) = ゴクエンオ(670) + ビーナイト(1070)
	Gen:T-01 ルミカイト(870) = クレメーオ(700) + ゴリレイジ(1040)
	Gen:T-01 ルミカイト(870) = カバネドリ(660) + マスクロウ(1080)
	Gen:T-01 ルミカイト(870) = ガウルフ(1060) + ライコーン(680)
	Gen:T-01 ルミカイト(870) = エアムルグ(1030) + ゴクエンオ(710)
	Gen:T-01 ルミカイト(870) = イヌズマ(740) + サンドロ(1000)
	Gen:T-01 ルミカイト(870) = アロアリュー(820) + ツノガミ(920)
	Gen:T-01 ルミカイト(870) = アルパオー(470) + マグピス(1270)
	Gen:T-01 ルミカイト(870) = アルパオー(440) + コモップ(1300)
	Gen:T-01 ルミカイト(870) = アビスゴート(580) + フォレーナ(1160)
	Gen:T-01 ルミカイト(870) = アビスゴート(580) + ヒノコジカ(1155)
	Gen:T-01 ルミカイト(870) = アズレーン(500) + ナエモチ(1240)
	Gen:T-01 リリクイン(250) = ヒエティ(480) + シヴァ(30)
	Gen:T-01 リリクイン(250) = ヒエティ(460) + スザク(50)
	Gen:T-01 リリクイン(250) = シルキーヌ(450) + ゼノグリフ(60)
	Gen:T-01 リリクイン(250) = シルキーヌ(450) + スザク(50)
	Gen:T-01 リリクイン(250) = アルパオー(470) + シヴァ(30)
	Gen:T-01 リリクイン(250) = アルパオー(440) + ベイントール(70)
	Gen:T-01 リリクイン(250) = アルパオー(440) + ゼノグリフ(60)
	Gen:T-01 リリクイン(250) = アズレーン(500) + ボルカイザー(10)
	Gen:T-01 ラベロット(990) = ルミカイト(870) + ミステリア(1110)
	Gen:T-01 ラベロット(990) = ルナティ(1180) + オコチョ(800)
	Gen:T-01 ラベロット(990) = ラベロット(990) + ラベロット(990)
	Gen:T-01 ラベロット(990) = ラブラドン(860) + ダリザード(1120)
	Gen:T-01 ラベロット(990) = ラブラドン(840) + ダリザード(1140)
	Gen:T-01 ラベロット(990) = ラブマンダー(940) + ゴリレイジ(1040)
	Gen:T-01 ラベロット(990) = ライコーン(680) + コモップ(1300)
	Gen:T-01 ラベロット(990) = メルパカ(890) + シャーキッド(1090)
	Gen:T-01 ラベロット(990) = メリポップ(1190) + ブルフェルノ(790)
	Gen:T-01 ラベロット(990) = ムラクモ(980) + サンドロ(1000)
	Gen:T-01 ラベロット(990) = ミルカルビ(910) + ビーナイト(1070)
	Gen:T-01 ラベロット(990) = ミステリア(1110) + ルミカイト(870)
	Gen:T-01 ラベロット(990) = マスクロウ(1080) + トドドドン(895)
	Gen:T-01 ラベロット(990) = マスクロウ(1080) + ツノガミ(900)
	Gen:T-01 ラベロット(990) = ヘルゴート(590) + ホウロック(1390)
	Gen:T-01 ラベロット(990) = ベリゴート(930) + ヴィオレッタ(1050)
	Gen:T-01 ラベロット(990) = ブルフェルノ(790) + メリポップ(1190)
	Gen:T-01 ラベロット(990) = フブキツネ(760) + モグルン(1220)
	Gen:T-01 ラベロット(990) = フォレーナ(1160) + アロアリュー(820)
	Gen:T-01 ラベロット(990) = ヒノコジカ(1155) + シラヌイ(830)
	Gen:T-01 ラベロット(990) = ヒノコジカ(1155) + アロアリュー(820)
	Gen:T-01 ラベロット(990) = ヒエティ(480) + タマコッコ(1500)
	Gen:T-01 ラベロット(990) = ビーナイト(1070) + ミルカルビ(910)
	Gen:T-01 ラベロット(990) = ニャンバット(750) + ネムラム(1230)
	Gen:T-01 ラベロット(990) = ニャンギマリ(510) + モコロン(1470)
	Gen:T-01 ラベロット(990) = ドリタス(850) + イノボウ(1130)
	Gen:T-01 ラベロット(990) = トドドドン(895) + マスクロウ(1080)
	Gen:T-01 ラベロット(990) = トドドドン(895) + シャーキッド(1090)
	Gen:T-01 ラベロット(990) = ツララジカ(880) + シャーマンダー(1100)
	Gen:T-01 ラベロット(990) = ツノガミ(920) + ガウルフ(1060)
	Gen:T-01 ラベロット(990) = ツノガミ(900) + マスクロウ(1080)
	Gen:T-01 ラベロット(990) = ツジギリ(640) + クルットリ(1340)
	Gen:T-01 ラベロット(990) = ツキカゲ(950) + エアムルグ(1030)
	Gen:T-01 ラベロット(990) = ダリザード(1140) + ラブラドン(840)
	Gen:T-01 ラベロット(990) = ダリザード(1120) + ラブラドン(860)
	Gen:T-01 ラベロット(990) = ソルレイス(1150) + シラヌイ(830)
	Gen:T-01 ラベロット(990) = スナペント(550) + クルリス(1430)
	Gen:T-01 ラベロット(990) = スナペント(550) + オバケナワ(1422)
	Gen:T-01 ラベロット(990) = シロカバネ(620) + コチグリ(1360)
	Gen:T-01 ラベロット(990) = シルフィア(540) + チルテト(1440)
	Gen:T-01 ラベロット(990) = シルティア(530) + ミルフィー(1455)
	Gen:T-01 ラベロット(990) = シルティア(530) + タマモ(1450)
	Gen:T-01 ラベロット(990) = シラヌイ(830) + ヒノコジカ(1155)
	Gen:T-01 ラベロット(990) = シラヌイ(830) + ソルレイス(1150)
	Gen:T-01 ラベロット(990) = シャーマンダー(1100) + ツララジカ(880)
	Gen:T-01 ラベロット(990) = シャーキッド(1090) + メルパカ(890)
	Gen:T-01 ラベロット(990) = シャーキッド(1090) + トドドドン(895)
	Gen:T-01 ラベロット(990) = シーペント(560) + シメナワ(1420)
	Gen:T-01 ラベロット(990) = シーペント(560) + オバケナワ(1422)
	Gen:T-01 ラベロット(990) = サンドロ(1000) + ムラクモ(980)
	Gen:T-01 ラベロット(990) = ゴリレイジ(1040) + ラブマンダー(940)
	Gen:T-01 ラベロット(990) = ゴクエンオ(710) + マグピス(1270)
	Gen:T-01 ラベロット(990) = ゴクエンオ(670) + ヒメウサ(1310)
	Gen:T-01 ラベロット(990) = クレメーオ(700) + ポプリーナ(1280)
	Gen:T-01 ラベロット(990) = カバネドリ(660) + イバラヒメ(1320)
	Gen:T-01 ラベロット(990) = ガウルフ(1060) + ツノガミ(920)
	Gen:T-01 ラベロット(990) = エアムルグ(1030) + ツキカゲ(950)
	Gen:T-01 ラベロット(990) = ヴィオレッタ(1050) + ベリゴート(930)
	Gen:T-01 ラベロット(990) = イノボウ(1130) + ドリタス(850)
	Gen:T-01 ラベロット(990) = イヌズマ(740) + ナエモチ(1240)
	Gen:T-01 ラベロット(990) = アロアリュー(820) + フォレーナ(1160)
	Gen:T-01 ラベロット(990) = アロアリュー(820) + ヒノコジカ(1155)
	Gen:T-01 ラベロット(990) = アビスゴート(580) + ラヴィ(1405)
	Gen:T-01 ラベロット(990) = アビスゴート(580) + キツネビ(1400)
	Gen:T-01 ラベロット(990) = アズレーン(500) + ニャオテト(1480)
	Gen:T-01 ラブラドン(860) = ルミカイト(870) + ラブラドン(860)
	Gen:T-01 ラブラドン(860) = ルミカイト(870) + ドリタス(850)
	Gen:T-01 ラブラドン(860) = ルナティ(1180) + スナペント(550)
	Gen:T-01 ラブラドン(860) = ルナティ(1180) + シルフィア(540)
	Gen:T-01 ラブラドン(860) = ラベロット(990) + イヌズマ(740)
	Gen:T-01 ラブラドン(860) = ラブラドン(860) + ルミカイト(870)
	Gen:T-01 ラブラドン(860) = ラブラドン(860) + ラブラドン(860)
	Gen:T-01 ラブラドン(860) = ラブラドン(840) + メルパカ(890)
	Gen:T-01 ラブラドン(860) = ラブラドン(840) + ツララジカ(880)
